u abs_error rel_error
-2.5e-2 3.71508760251140060197678312848789334765805835410621820605402154319813622e-2 1.017111157021128536371480463486014159171193577203877697753415154234139198
-2.46875e-2 3.66730205117644246434856195636368640330407307376261721929868846821142156e-2 1.016899963882971276290824677497014135011879686128521175121339527325814482
-2.4375e-2 3.619550842181585526581627949423363239382613170454329187496887303011259383e-2 1.016688702197929014492075103755118600684903356653473045534155069757922376
-2.40625e-2 3.571833966040142530970387695659672107755538959452636075596216730406345082e-2 1.016477371977118133797870278980122924626186606797967799801704998415320264
-2.375e-2 3.524151413274537813452902062696174263058610487392034996931040842341774274e-2 1.016265973231647868720651996453220059651392289156042529616435907944416323
-2.34375e-2 3.476503174416295638904171153182947240550582092625816383573081255219567018e-2 1.016054505972620312725493025058750059374328754695212718022317570455263275
-2.3125e-2 3.428889240006028555089965272933684192805328486782152127430856035502699948e-2 1.015842970211130425483001854809108076754241291808373183247992806585595402
-2.28125e-2 3.381309600593425765245390850628947838220908868223643649610919068900085155e-2 1.015631365958266040112321396849402758606951901341941730253891382229922681
-2.25e-2 3.333764246737241519242460400570715321957037826178547648845999523039489863e-2 1.015419693225107870414238531411017230545749996005001735620324762602279007
-2.21875e-2 3.28625316900528352331101556767245834901358507625630633052676039551780556e-2 1.015207952022729518094421362737602995099842288837848009311746309498324279
-2.1875e-2 3.23877635797440136827743203719628103354145456586048907550264506120071131e-2 1.01499614236219747997680100564301237242758699484426074928624195322462712
-2.15625e-2 3.19133380423047497628561463129164283857889254848632909765650241292871283e-2 1.014784264254571155207114694078027595845235789613967668221303209883876159
-2.125e-2 3.143925498368403065964870250734606297335906289578099469031138522047853345e-2 1.014572317710902852446626967881254995853692631968842952871586713227917538
-2.09375e-2 3.096551430992091636009325453996179761362663617273182929972415719142663725e-2 1.014360302742237797056045659769002191543517659583145452837985957798345285
-2.0625e-2 3.049211592714442467133634397465121935699921340142514604963638240232921338e-2 1.014148219359614138269649370579126842607107856413778343426154463450836338
-2.03125e-2 3.001905974157341642369801590894628570827788998879746570467736468394072088e-2 1.013936067574062956359643086824519942231221984490224049736239288514588493
-2e-2 2.95463456595164808567002245151187344476095341168796567549293434912278555e-2 1.013723847396608269790758560732848150357017410733577239492885022348298344
-1.96875e-2 2.90739735873718211878052296930082315768106251439805932672235048822490605e-2 1.013511558838267042365116039150212231390697025735061963776054970401574766
-1.9375e-2 2.860194343162714036351457925316648624160373087112380284038469978006504609e-2 1.013299201910049190357363893967266875192106105370138097534194324619401157
-1.90625e-2 2.813025509885952699248005035087145147697780521332993960030178271402594455e-2 1.013086776622957589640112673086876299206046082352523833557690845140914757
-1.875e-2 2.76589084957353414602787012077375299186322036117209494197086153953720453e-2 1.012874282987988082799680057392335954287298739060755153301321556496357297
-1.84375e-2 2.718790352901010222550495949371128933994515691250194459142122862892888213e-2 1.01266172101612948624216317569435993351191474235404107355288227157828854
-1.8125e-2 2.671724010552837229683344710387032397870398496020264067826319743713669468e-2 1.012449090718363597289854696233203501369753912804575725016332337920983151
-1.78125e-2 2.624691813222364589070701245729028233471154739432365835653887079669132499e-2 1.012236392105665201268019079989248350257071348776060916568972074802466342
-1.75e-2 2.57769375161182352693052108749484400964767129089489625832453984496486297e-2 1.012023625189002078582045347810913220812381561078630800405465154813537658
-1.71875e-2 2.530729816432315775844924106581032209213914100757187517648370928755287693e-2 1.01181078997933501178499268020265349753352431822793806725018357238742565
-1.6875e-2 2.483799998403802294510011127049970069476333289458771194544597433635312715e-2 1.011597886487617792635545135527870050818171979098819029690308753314560075
-1.65625e-2 2.436904288255092005410757218586495046990487185807752678386968327041987478e-2 1.011384914724797229146391739371550312880210670182046869555098276193147172
