x abs_error rel_error
3.125e-2 2.830362005063924779009940003801827778862892642635598390212415281774985925e-22 9.058632731052424766587947946492753579261756934792418082326842365318859095e-21
3.1875e-2 3.004867982265378151160213123265054525890771196695189575353947161274038203e-22 9.428633332464871706697145887894341087827132754542364803086800466660795614e-21
3.25e-2 3.186651931999328415897106040068271693016247118542445959277497008092356216e-22 9.80680918355001687921029958474487326340131850471813407355833408643157943e-21
3.3125e-2 3.375919307182456949336531920249291577428246573175786156637711633259797704e-22 1.0193318539652367251817301763765961752321433897306230247820246131609357684e-20
3.375e-2 3.572887184967426062352784483075584559524943427986394834584844006042929218e-22 1.058834241605391609407944385963011517323369551263686906557711851252329014e-20
3.4375e-2 3.777785923564561402906352845752410248780278159400533552760996601204393292e-22 1.099208734166317751172102615407839149435973704159421753404841544394795799e-20
3.5e-2 3.990861017508218956965788636425669942729011420766783586467674715883514178e-22 1.140478838503699935991397090896315107184314339110212536043341446593920837e-20
3.5625e-2 4.212375170794519483391680196598416759608704610129699984468601220804277433e-22 1.182671247387478212305224705541215773030537965685981587191516471035001592e-20
3.625e-2 4.44261060880986992968426695683962981666476555956640181535497853382898193e-22 1.225816203033292667590505535368123517108675247464311343263177979007651797e-20
3.6875e-2 4.681871651546860811350816462187739409217469457104869203609019330166242646e-22 1.269947894576077519034191835977198797965019271714562213773340629567413981e-20
3.75e-2 4.930487572268856469678370218416518294841545112779365852873311990813131655e-22 1.3151048919758833994192601942390321691490194485269888925247747596651064935e-20
3.8125e-2 5.18881576754006413197009968119520657038199240325120053304224982845896643e-22 1.361330618980651247617094517668086702673668568002143252781681353643526454e-20
3.875e-2 5.457245266387317173858835763057490331448774058215221777653769852745712385e-22 1.408673867910081610278209444687980587411309586071990583930027354222602745e-20
3.9375e-2 5.73620060830653412089477162359851043149237007179363494042506477809770145e-22 1.457189359169023260399538771118132744121840683904333613651996808352050865e-20
4e-2 6.026146121874170727379632240588371085329328154507102221598709387440498574e-22 1.506938348548028712999470492794884258184281676878787549325257447585697591e-20
4.0625e-2 6.32759063787537773965904786945571645401045068687016890943303995856622716e-22 1.557989285522975382578495370977262957407298152722753204270100395253506558e-20
