x abs_error
-1.052433538952580734884985533398633466206051748790660450026606 2.794262098900741367570660504069431936239679151568434940111162e-4
-1.036725575684631768692672316482235951785065901793784920921732 2.516216955391171612875330922841248232058136387418470156429448e-4
-1.021017612416682802500359099565838437364080054796909391816857 2.262184964433600344909535083804721473707067001088043205556681e-4
-1.005309649148733836308045882649440922943094207800033862711982 2.030418565323074447913628474991454837002649301941647931119291e-4
-0.9896016858807848701157326657330434085221083608031583336071076 1.819272728039635788574206454491875426580054479937250292466028e-4
-0.973893722612835903923419448816645894101122513806282804502233 1.627200450472762834301652732896365736915025036041610605651581e-4
-0.958185759344886937731106231900248379680136666809407275397358 1.452748382470448740985790209623609057743228953210214155122886e-4
-0.942477796076937971538793014983850865259150819812531746292483 1.294552575433060754266915274550990202085206723858491598168666e-4
-0.926769832808989005346479798067453350838164972815656217187609 1.151334356141149472137274201624199592688638876150278388041498e-4
-0.911061869541040039154166581151055836417179125818780688082734 1.021896323475723648512252356131969934456021646513533116388603e-4
-0.895353906273091072961853364234658321996193278821905158977859 9.051184666591843404177472756205573248942087447700894888833755e-5
-0.8796459430051421067695401473182608075752074318250296298729844 7.99954403615128797099817254560080335224705322315988486903758e-5
-0.8639379797371931405772269304018632931542215848281541007681096 7.05427738015596955631107543752518759953048003113901551463927e-5
-0.848230016469244174384913713485465778733235737831278571663235 6.20628533555049057083729000081962123504007163748342952364502e-5
-0.8325220532012952081926004965690682643122498908344030425583606 5.447099039614389555354949140243937062639244793565908468105694e-5
-0.816814089933346242000287279652670749891264043837527513453486 4.7688471722619129562555240314813816624175518774041937086181e-5
-0.801106126665397275807974062736273235470278196840651984348611 4.164224125067089289400255828290397251072852520959168515173885e-5
-0.785398163397448309615660845819875721049292349843776455243736 3.626459281272366786271164936090329577321200511394639324816913e-5
-0.769690200129499343423347628903478206628306502846900926138861 3.14928739076495704612574674111382289023631383882862892583979e-5
-0.7539822368615503772310344119870806922073206558500253970339865 2.726920023734860320760966888922560738652323434553190184151305e-5
-0.738274273593601411038721195070683177786334808853149867929112 2.354018086462399494209794749920652584296287009008975097198477e-5
-0.7225663103256524448464079781542856633653489618562743388242375 2.025665382421025256408030814856898343564462315728585718669302e-5
-0.7068583470577034786540947612378881489443631148593988097193626 1.737343201623239068090226888222619758489129105851680948965801e-5
-0.691150383789754512461781544321490634523377267862523280614488 1.484905920883776910790552569330567915772888153733162132918806e-5
-0.675442420521805546269468327405093120102391420865647751509613 1.264557597424768108405413865148861722440812126892790272789282e-5
-0.659734457253856580077155110488695605681405573868772222404738 1.07282953800249123812075365073552038448175251155336079126434e-5
